# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.033117002967e+03       3.178687923865e-02       0.000000000000e+00       2.659489336187e+00       4.876914589120e-08       3.037474571620e-03      -1.251989563545e-05 
    3       9.772241423547e+02       4.035365527455e-02       0.000000000000e+00       2.981991510591e+00       6.088026265829e-08       3.049662523347e-03      -1.332132230195e-05 
    4       9.246205115276e+02       3.451573701944e-02       0.000000000000e+00       2.778349689306e+00       7.072109677726e-08       2.978065793665e-03      -1.116409924182e-05 
    5       8.853041694935e+02       2.275606235695e-02       0.000000000000e+00       2.356939015231e+00       7.922681211110e-08       2.877444302529e-03      -7.499078846318e-06 
    6       8.583869760569e+02       1.259650632660e-02       0.000000000000e+00       1.890363011374e+00       8.661833927604e-08       2.766937931806e-03      -3.540296253631e-06 
    7       8.411028929191e+02       6.791586982745e-03       0.000000000000e+00       1.478219350143e+00       9.308345480702e-08       2.656017000755e-03      -2.164993069510e-07 
    8       8.310792788753e+02       4.409389289806e-03       0.000000000000e+00       1.163576364694e+00       9.882937551343e-08       2.549555700476e-03       1.933853129831e-06 
    9       8.264318608972e+02       3.542496427692e-03       0.000000000000e+00       9.551395685727e-01       1.040225091694e-07       2.449382895188e-03       2.771320679367e-06 
   10       8.256562812134e+02       3.000251343319e-03       0.000000000000e+00       8.416270728172e-01       1.087397673746e-07       2.356086292705e-03       2.491545507633e-06 
   11       8.280316375680e+02       2.512335940025e-03       0.000000000000e+00       8.019497931412e-01       1.097248899150e-07       2.278151955406e-03       1.514668218000e-06 
   12       8.328384874092e+02       2.198223807665e-03       0.000000000000e+00       8.130165324560e-01       1.132816405193e-07       2.191938817629e-03       2.901688106322e-07 
   13       8.394601203421e+02       2.121644637925e-03       0.000000000000e+00       8.541818958664e-01       1.164646398588e-07       2.115584891612e-03      -7.650112058706e-07 
   14       8.473288704044e+02       2.212972110775e-03       0.000000000000e+00       9.099218552619e-01       1.193149499843e-07       2.035656400056e-03      -1.414331844219e-06 
   15       8.565520784735e+02       2.391235009320e-03       0.000000000000e+00       9.713707211766e-01       1.218678848913e-07       1.963229272760e-03      -1.573306140160e-06 
   16       8.669511320850e+02       2.648285538360e-03       0.000000000000e+00       1.034097007220e+00       1.241548276679e-07       1.896575203144e-03      -1.327871593201e-06 
   17       8.780626809613e+02       3.028271330513e-03       0.000000000000e+00       1.096435776178e+00       1.262021115650e-07       1.833846233416e-03      -8.605562208885e-07 
   18       8.898272683877e+02       3.566572719046e-03       0.000000000000e+00       1.160488782865e+00       1.279824716980e-07       1.772094260198e-03      -3.901701033353e-07 
   19       9.023423320944e+02       4.262751690573e-03       0.000000000000e+00       1.227945031819e+00       1.296650486910e-07       1.713763709543e-03      -5.561659112441e-08 
   20       9.153117305123e+02       5.100344815671e-03       0.000000000000e+00       1.299766805615e+00       1.311106613301e-07       1.659632072261e-03       3.586624605494e-08 
   21       9.288246838453e+02       6.075166894136e-03       0.000000000000e+00       1.375428978233e+00       1.324063147968e-07       1.609962079264e-03      -1.065011755259e-07 
   22       9.428489425638e+02       7.184797104383e-03       0.000000000000e+00       1.453290982462e+00       1.335274848275e-07       1.562162766332e-03      -3.925611225416e-07 
   23       9.573222773654e+02       8.429918758910e-03       0.000000000000e+00       1.530625120775e+00       1.345439838060e-07       1.515898458416e-03      -7.258468855955e-07 
   24       9.720434966259e+02       9.811428258491e-03       0.000000000000e+00       1.604088651076e+00       1.354076922220e-07       1.470347368106e-03      -9.905912195040e-07 
   25       9.871527302816e+02       1.133290136114e-02       0.000000000000e+00       1.671685441703e+00       1.361728433737e-07       1.427203773887e-03      -1.128392072179e-06 
   26       1.002750082195e+03       1.300000123700e-02       0.000000000000e+00       1.731941771029e+00       1.368180437199e-07       1.387821586551e-03      -1.112482144172e-06 
   27       1.018697060501e+03       1.482613027876e-02       0.000000000000e+00       1.784495145964e+00       1.373700541843e-07       1.351194797872e-03      -9.805638309470e-07 
   28       1.034728502202e+03       1.682716265379e-02       0.000000000000e+00       1.829472226892e+00       1.377928115812e-07       1.314770535952e-03      -8.060066663157e-07 
   29       1.050915959030e+03       1.901391897829e-02       0.000000000000e+00       1.867110481477e+00       1.381589632709e-07       1.279102852469e-03      -6.369761591840e-07 
   30       1.067364452098e+03       2.139573485274e-02       0.000000000000e+00       1.897866658221e+00       1.384888208037e-07       1.245289672012e-03      -5.248793992674e-07 
   31       1.084101007388e+03       2.398149095492e-02       0.000000000000e+00       1.922245042244e+00       1.387028873009e-07       1.213759929828e-03      -5.212977151077e-07 
   32       1.101141232160e+03       2.677804481262e-02       0.000000000000e+00       1.940012025004e+00       1.388455845420e-07       1.184480744193e-03      -6.130421908695e-07 
   33       1.118427287036e+03       2.979110899425e-02       0.000000000000e+00       1.950686952369e+00       1.389450256816e-07       1.156523676871e-03      -7.510485840716e-07 
   34       1.135855645232e+03       3.302603005185e-02       0.000000000000e+00       1.953658853592e+00       1.389650913019e-07       1.128431086249e-03      -8.752562438689e-07 
   35       1.153473444268e+03       3.648933493677e-02       0.000000000000e+00       1.947907179989e+00       1.389373434872e-07       1.100561748270e-03      -9.627053481192e-07 
   36       1.171338587269e+03       4.018766210103e-02       0.000000000000e+00       1.932163812081e+00       1.388685058414e-07       1.073697576920e-03      -1.000636736867e-06 
   37       1.189469725181e+03       4.412727727120e-02       0.000000000000e+00       1.905237430835e+00       1.387198000038e-07       1.048390480455e-03      -9.796904540152e-07 
   38       1.207871818454e+03       4.831389877523e-02       0.000000000000e+00       1.866920555826e+00       1.385292243365e-07       1.024874579326e-03      -9.122039999172e-07 
   39       1.226509989507e+03       5.275276564197e-02       0.000000000000e+00       1.817384221867e+00       1.383321516301e-07       1.003002304203e-03      -8.234140935648e-07 
   40       1.245296162223e+03       5.744864566602e-02       0.000000000000e+00       1.756946643592e+00       1.381153953778e-07       9.821694058074e-04      -7.484532887878e-07 
   41       1.264130215969e+03       6.240609373528e-02       0.000000000000e+00       1.685954324877e+00       1.378323401385e-07       9.615615120135e-04      -7.231590936131e-07 
   42       1.283051794214e+03       6.763040059544e-02       0.000000000000e+00       1.604357274347e+00       1.375053083637e-07       9.412539970274e-04      -7.476764348471e-07 
   43       1.302129348785e+03       7.312690207824e-02       0.000000000000e+00       1.512010607417e+00       1.371594498927e-07       9.214993741028e-04      -8.075627471658e-07 
   44       1.321416286630e+03       7.890070702029e-02       0.000000000000e+00       1.408790649987e+00       1.367875236495e-07       9.024148529443e-04      -8.820858198119e-07 
   45       1.340948153398e+03       8.495646001760e-02       0.000000000000e+00       1.294540913580e+00       1.363620288176e-07       8.840174951850e-04      -9.491480668979e-07 
   46       1.360737691722e+03       9.129756983167e-02       0.000000000000e+00       1.168890417985e+00       1.359068906740e-07       8.664196672445e-04      -1.004738346008e-06 
   47       1.380775048848e+03       9.792673246176e-02       0.000000000000e+00       1.031381301547e+00       1.354500133033e-07       8.496710246031e-04      -1.050705121841e-06 
   48       1.401026634815e+03       1.048461149344e-01       0.000000000000e+00       8.815153789437e-01       1.349992150247e-07       8.336807392040e-04      -1.089857396035e-06 
   49       1.421433155974e+03       1.120573317536e-01       0.000000000000e+00       7.187511668419e-01       1.345361349958e-07       8.181942873090e-04      -1.126083598567e-06 
   50       1.441933771699e+03       1.195615486014e-01       0.000000000000e+00       5.425914914751e-01       1.340281461692e-07       8.028971177294e-04      -1.163629110486e-06 
   51       1.462550856912e+03       1.273598812602e-01       0.000000000000e+00       3.528812462334e-01       1.334891124506e-07       7.878353338227e-04      -1.204275351091e-06 
   52       1.483324848201e+03       1.354530642660e-01       0.000000000000e+00       1.495853156848e-01       1.329389833875e-07       7.731217193567e-04      -1.249241315145e-06 
   53       1.504289411870e+03       1.438413159769e-01       0.000000000000e+00      -6.729368456822e-02       1.323846713520e-07       7.588131850213e-04      -1.299949263429e-06 
   54       1.525470706777e+03       1.525243210107e-01       0.000000000000e+00      -2.977141195447e-01       1.318164740251e-07       7.449011899654e-04      -1.358040979878e-06 
   55       1.546887160734e+03       1.615015760414e-01       0.000000000000e+00      -5.416259683517e-01       1.312163908611e-07       7.313445761021e-04      -1.424748870301e-06 
   56       1.568550423411e+03       1.707735680127e-01       0.000000000000e+00      -7.990745876148e-01       1.305978261688e-07       7.182065644483e-04      -1.498691900031e-06 
   57       1.590463358969e+03       1.803408578573e-01       0.000000000000e+00      -1.070120468476e+00       1.299781903444e-07       7.055505115678e-04      -1.577298451982e-06 
   58       1.612618851712e+03       1.902037394527e-01       0.000000000000e+00      -1.354809529549e+00       1.293663162662e-07       6.933952827149e-04      -1.657324918700e-06 
   59       1.634999088944e+03       2.003622362163e-01       0.000000000000e+00      -1.653173072280e+00       1.287602586836e-07       6.817087481494e-04      -1.734793741421e-06 
   60       1.657574843817e+03       2.108160977003e-01       0.000000000000e+00      -1.965227736315e+00       1.281448927120e-07       6.704010005082e-04      -1.804929268486e-06 
   61       1.680317131252e+03       2.215640784174e-01       0.000000000000e+00      -2.290967511315e+00       1.274999499111e-07       6.593642554316e-04      -1.863166277141e-06 
   62       1.703236855360e+03       2.326015928589e-01       0.000000000000e+00      -2.630337778141e+00       1.268348064839e-07       6.486250252033e-04      -1.908732339846e-06 
   63       1.726352829225e+03       2.439225256827e-01       0.000000000000e+00      -2.983255335212e+00       1.261643757607e-07       6.382302553135e-04      -1.942145488998e-06 
   64       1.749679868996e+03       2.555198773755e-01       0.000000000000e+00      -3.349615537078e+00       1.254986673096e-07       6.282015141945e-04      -1.964273647596e-06 
   65       1.773228469339e+03       2.673857380738e-01       0.000000000000e+00      -3.729291997746e+00       1.248415740597e-07       6.185315770051e-04      -1.976368554407e-06 
   66       1.797004478873e+03       2.795112613849e-01       0.000000000000e+00      -4.122136293995e+00       1.241895574800e-07       6.091808758506e-04      -1.980100835811e-06 
   67       1.821008775613e+03       2.918866382071e-01       0.000000000000e+00      -4.527977668704e+00       1.235302275678e-07       6.000738164363e-04      -1.977596224325e-06 
   68       1.845240549157e+03       3.045021351662e-01       0.000000000000e+00      -4.946632783888e+00       1.228484824298e-07       5.911283429066e-04      -1.971033336464e-06 
   69       1.869708645002e+03       3.173515127776e-01       0.000000000000e+00      -5.377937937835e+00       1.221515337842e-07       5.823640006217e-04      -1.961207138857e-06 
   70       1.894421946394e+03       3.304292560465e-01       0.000000000000e+00      -5.821722873040e+00       1.214511006490e-07       5.738196453000e-04      -1.948598472739e-06 
   71       1.919385742824e+03       3.437295721649e-01       0.000000000000e+00      -6.277801265134e+00       1.207559717220e-07       5.655213193312e-04      -1.933782340223e-06 
   72       1.944601497712e+03       3.572463915601e-01       0.000000000000e+00      -6.745970683231e+00       1.200713284739e-07       5.574806114989e-04      -1.917434157821e-06 
   73       1.970066616093e+03       3.709733689438e-01       0.000000000000e+00      -7.226012550278e+00       1.193980165523e-07       5.496929579215e-04      -1.900336171862e-06 
   74       1.995774212305e+03       3.849038843608e-01       0.000000000000e+00      -7.717692103400e+00       1.187317640069e-07       5.421358842111e-04      -1.883384035814e-06 
   75       2.021712877675e+03       3.990310442378e-01       0.000000000000e+00      -8.220758354245e+00       1.180623448451e-07       5.347671888504e-04      -1.867593549485e-06 
   76       2.047871502921e+03       4.133472385859e-01       0.000000000000e+00      -8.734947844522e+00       1.173781028787e-07       5.275415448908e-04      -1.853936653295e-06 
   77       2.074255274144e+03       4.278427170693e-01       0.000000000000e+00      -9.259996790899e+00       1.166835614408e-07       5.204698701689e-04      -1.842781446638e-06 
   78       2.100872185269e+03       4.425067539749e-01       0.000000000000e+00      -9.795631093032e+00       1.159865160136e-07       5.135726991420e-04      -1.834312272982e-06 
   79       2.127728115518e+03       4.573280611008e-01       0.000000000000e+00      -1.034156277240e+01       1.152927941405e-07       5.068622321277e-04      -1.828684167030e-06 
   80       2.154826700750e+03       4.722947797039e-01       0.000000000000e+00      -1.089749001049e+01       1.146058610322e-07       5.003414208939e-04      -1.826019339688e-06 
   81       2.182169204794e+03       4.873944724466e-01       0.000000000000e+00      -1.146309718694e+01       1.139263983413e-07       4.940030251850e-04      -1.826403550046e-06 
   82       2.209754390793e+03       5.026141153452e-01       0.000000000000e+00      -1.203805491774e+01       1.132518554133e-07       4.878286401830e-04      -1.829882364384e-06 
   83       2.237578392533e+03       5.179400897162e-01       0.000000000000e+00      -1.262202009336e+01       1.125759723198e-07       4.817876949042e-04      -1.836457302192e-06 
   84       2.265637072660e+03       5.333586534971e-01       0.000000000000e+00      -1.321463573918e+01       1.118917840016e-07       4.758487599377e-04      -1.846044736971e-06 
   85       2.293933828330e+03       5.488574626188e-01       0.000000000000e+00      -1.381553048633e+01       1.112029679197e-07       4.700190490919e-04      -1.858349747413e-06 
   86       2.322472849685e+03       5.644242882531e-01       0.000000000000e+00      -1.442431908268e+01       1.105152791607e-07       4.643128044237e-04      -1.872953792566e-06 
   87       2.351256662451e+03       5.800465598683e-01       0.000000000000e+00      -1.504060259751e+01       1.098331352836e-07       4.587393323681e-04      -1.889343046843e-06 
   88       2.380286041070e+03       5.957113652334e-01       0.000000000000e+00      -1.566396845669e+01       1.091593760450e-07       4.533025083765e-04      -1.906902020277e-06 
   89       2.409559921832e+03       6.114054504225e-01       0.000000000000e+00      -1.629399047784e+01       1.084950083455e-07       4.480002672156e-04      -1.924907021477e-06 
   90       2.439075316009e+03       6.271152198182e-01       0.000000000000e+00      -1.693022890554e+01       1.078389360495e-07       4.428240789258e-04      -1.942519463294e-06 
   91       2.468827222991e+03       6.428267361162e-01       0.000000000000e+00      -1.757223044650e+01       1.071876743323e-07       4.377584104406e-04      -1.958779011197e-06 
   92       2.498808543415e+03       6.585257203292e-01       0.000000000000e+00      -1.821952830474e+01       1.065350482085e-07       4.327801728649e-04      -1.972596574350e-06 
   93       2.529012344524e+03       6.741977832993e-01       0.000000000000e+00      -1.887164874361e+01       1.058747349160e-07       4.278670773603e-04      -1.983001158596e-06 
   94       2.559439234642e+03       6.898291600561e-01       0.000000000000e+00      -1.952813182436e+01       1.052095045073e-07       4.230261376123e-04      -1.989960505073e-06 
   95       2.590090942372e+03       7.054060864276e-01       0.000000000000e+00      -2.018851386620e+01       1.045441377413e-07       4.182705236827e-04      -1.993731642435e-06 
   96       2.620968009357e+03       7.209145805124e-01       0.000000000000e+00      -2.085232132049e+01       1.038826805755e-07       4.136109647496e-04      -1.994625869074e-06 
   97       2.652069735694e+03       7.363404458611e-01       0.000000000000e+00      -2.151907089555e+01       1.032283145023e-07       4.090555078637e-04      -1.993011866040e-06 
   98       2.683394125365e+03       7.516692746589e-01       0.000000000000e+00      -2.218826968139e+01       1.025832195230e-07       4.046092702246e-04      -1.989318876429e-06 
   99       2.714937831654e+03       7.668864509072e-01       0.000000000000e+00      -2.285941527449e+01       1.019484296018e-07       4.002741849768e-04      -1.984039951246e-06 
  100       2.746696102569e+03       7.819771536055e-01       0.000000000000e+00      -2.353199590262e+01       1.013236804416e-07       3.960487405263e-04      -1.977735261726e-06 
  101       2.778662726267e+03       7.969263599334e-01       0.000000000000e+00      -2.420549054954e+01       1.007072494244e-07       3.919277133765e-04      -1.971035478126e-06 
  102       2.810829976473e+03       8.117188484327e-01       0.000000000000e+00      -2.487936907984e+01       1.000957875591e-07       3.879018944855e-04      -1.964645214982e-06 
  103       2.843188557903e+03       8.263392021890e-01       0.000000000000e+00      -2.555309236369e+01       9.948414327630e-08       3.839578091422e-04      -1.959346542840e-06 
  104       2.875729570302e+03       8.407721889324e-01       0.000000000000e+00      -2.622611803293e+01       9.886727050598e-08       3.800823634621e-04      -1.955833452046e-06 
  105       2.908450820253e+03       8.550039529617e-01       0.000000000000e+00      -2.689791836617e+01       9.824696353330e-08       3.762784944643e-04      -1.954168940798e-06 
  106       2.941351264223e+03       8.690209909135e-01       0.000000000000e+00      -2.756796506356e+01       9.762657852004e-08       3.725521468563e-04      -1.954224913077e-06 
  107       2.974429034081e+03       8.828097964570e-01       0.000000000000e+00      -2.823572401565e+01       9.700902949920e-08       3.689074774969e-04      -1.955839863189e-06 
  108       3.007681404702e+03       8.963568676182e-01       0.000000000000e+00      -2.890065549001e+01       9.639671776603e-08       3.653467117295e-04      -1.958816931149e-06 
  109       3.041104761573e+03       9.096487141038e-01       0.000000000000e+00      -2.956221431794e+01       9.579145766711e-08       3.618699963491e-04      -1.962921917842e-06 
  110       3.074694568399e+03       9.226718646250e-01       0.000000000000e+00      -3.021985008108e+01       9.519439871802e-08       3.584752492009e-04      -1.967881259932e-06 
  111       3.108445334705e+03       9.354128742214e-01       0.000000000000e+00      -3.087300729807e+01       9.460594398021e-08       3.551580054128e-04      -1.973379964549e-06 
