# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.033120563449e+03       3.178866748164e-02       1.788242660613e-06       2.659489306339e+00       4.876914589120e-08       3.037474571620e-03      -1.251989563545e-05 
    3       9.772312461040e+02       4.035723245951e-02       3.577181664025e-06       2.981991377549e+00       6.088026265829e-08       3.049662523347e-03      -1.332132230195e-05 
    4       9.246323133239e+02       3.452170053884e-02       5.963503213258e-06       2.778349306944e+00       7.072109677726e-08       2.978065793665e-03      -1.116409924182e-05 
    5       8.853218024549e+02       2.276501051051e-02       8.948098147322e-06       2.356938143943e+00       7.922681211110e-08       2.877444302529e-03      -7.499078846318e-06 
    6       8.584115472974e+02       1.260903852611e-02       1.253204853514e-05       1.890361297606e+00       8.661833927604e-08       2.766937931806e-03      -3.540296253631e-06 
    7       8.411354798655e+02       6.808303941678e-03       1.671660807187e-05       1.478216307689e+00       9.308345480702e-08       2.656017000755e-03      -2.164993069510e-07 
    8       8.311209263219e+02       4.430893194029e-03       2.150317987421e-05       1.163571357995e+00       9.882937551343e-08       2.549555700476e-03       1.933853129831e-06 
    9       8.264835788494e+02       3.569391083550e-03       2.689329231660e-05       9.551317982079e-01       1.040225091694e-07       2.449382895188e-03       2.771320679367e-06 
   10       8.257190435455e+02       3.033142299264e-03       3.288857359712e-05       8.416155632768e-01       1.087397673746e-07       2.356086292705e-03       2.491545507633e-06 
   11       8.281063814927e+02       2.551830577927e-03       3.949072574418e-05       8.019333829445e-01       1.097248899150e-07       2.278151955406e-03       1.514668218000e-06 
   12       8.329261137274e+02       2.244931400118e-03       4.670149877391e-05       8.129938665957e-01       1.132816405193e-07       2.191938817629e-03       2.901688106322e-07 
   13       8.395614944168e+02       2.176176368122e-03       5.452266568226e-05       8.541514205156e-01       1.164646398588e-07       2.115584891612e-03      -7.650112058706e-07 
   14       8.474448237780e+02       2.275941051980e-03       6.295599890774e-05       9.098818146305e-01       1.193149499843e-07       2.035656400056e-03      -1.414331844219e-06 
   15       8.566834110295e+02       2.463256061576e-03       7.200324883117e-05       9.713191563693e-01       1.218678848913e-07       1.963229272760e-03      -1.573306140160e-06 
   16       8.670986146366e+02       2.729975320828e-03       8.166612479179e-05       1.034031756920e+00       1.241548276679e-07       1.896575203144e-03      -1.327871593201e-06 
   17       8.782270581405e+02       3.120248028772e-03       9.194627899676e-05       1.096354478967e+00       1.262021115650e-07       1.833846233416e-03      -8.605562208885e-07 
   18       8.900092617604e+02       3.669455888724e-03       1.028452923473e-04       1.160388881071e+00       1.279824716980e-07       1.772094260198e-03      -3.901701033353e-07 
   19       9.025426430070e+02       4.377162012412e-03       1.143646710136e-04       1.227823776223e+00       1.296650486910e-07       1.713763709543e-03      -5.561659112441e-08 
   20       9.155310434984e+02       5.226903820233e-03       1.265058263281e-04       1.299621262147e+00       1.311106613301e-07       1.659632072261e-03       3.586624605494e-08 
   21       9.290636689145e+02       6.214496639756e-03       1.392700910832e-04       1.375256034459e+00       1.324063147968e-07       1.609962079264e-03      -1.065011755259e-07 
   22       9.431082581302e+02       7.337519825458e-03       1.526586975746e-04       1.453087356213e+00       1.335274848275e-07       1.562162766332e-03      -3.925611225416e-07 
   23       9.576025717335e+02       8.596656491358e-03       1.666728043086e-04       1.530387368338e+00       1.345439838060e-07       1.515898458416e-03      -7.258468855955e-07 
   24       9.723454101206e+02       9.992802433735e-03       1.813134736506e-04       1.603813177584e+00       1.354076922220e-07       1.470347368106e-03      -9.905912195040e-07 
   25       9.874768955622e+02       1.152953240883e-02       1.965817108299e-04       1.671368511094e+00       1.361728433737e-07       1.427203773887e-03      -1.128392072179e-06 
   26       1.003097125365e+03       1.321250814609e-02       2.124784369677e-04       1.731579518270e+00       1.368180437199e-07       1.387821586551e-03      -1.112482144172e-06 
   27       1.019067600545e+03       1.505513018578e-02       2.290045268977e-04       1.784083589367e+00       1.373700541843e-07       1.351194797872e-03      -9.805638309470e-07 
   28       1.035123150939e+03       1.707327040328e-02       2.461607907463e-04       1.829007282630e+00       1.377928115812e-07       1.314770535952e-03      -8.060066663157e-07 
   29       1.051335318762e+03       1.927774679689e-02       2.639480371162e-04       1.866587979121e+00       1.381589632709e-07       1.279102852469e-03      -6.369761591840e-07 
   30       1.067809114790e+03       2.167789190279e-02       2.823670196863e-04       1.897282358025e+00       1.384888208037e-07       1.245289672012e-03      -5.248793992674e-07 
   31       1.084571553768e+03       2.428258289443e-02       3.014184372035e-04       1.921594654588e+00       1.387028873009e-07       1.213759929828e-03      -5.212977151077e-07 
   32       1.101638228504e+03       2.709867358040e-02       3.211030153572e-04       1.939291233457e+00       1.388455845420e-07       1.184480744193e-03      -6.130421908695e-07 
   33       1.118951283085e+03       3.013187242421e-02       3.414214533646e-04       1.949891436706e+00       1.389450256816e-07       1.156523676871e-03      -7.510485840716e-07 
   34       1.136407172396e+03       3.338752147573e-02       3.623744146952e-04       1.952784315197e+00       1.389650913019e-07       1.128431086249e-03      -8.752562438689e-07 
   35       1.154053013414e+03       3.687214300497e-02       3.839625708413e-04       1.946949374100e+00       1.389373434872e-07       1.100561748270e-03      -9.627053481192e-07 
   36       1.171946686425e+03       4.059237044254e-02       4.061865732122e-04       1.931118578067e+00       1.388685058414e-07       1.073697576920e-03      -1.000636736867e-06 
   37       1.190106817831e+03       4.455446412986e-02       4.290470406910e-04       1.904100725018e+00       1.387198000038e-07       1.048390480455e-03      -9.796904540152e-07 
   38       1.208538344188e+03       4.876413679486e-02       4.525445547094e-04       1.865688494104e+00       1.385292243365e-07       1.024874579326e-03      -9.122039999172e-07 
   39       1.227206362803e+03       5.322662153958e-02       4.766796632864e-04       1.816053118572e+00       1.383321516301e-07       1.003002304203e-03      -8.234140935648e-07 
   40       1.246022770418e+03       5.794667985769e-02       5.014528828504e-04       1.755513049944e+00       1.381153953778e-07       9.821694058074e-04      -7.484532887878e-07 
   41       1.264887418575e+03       6.292885993576e-02       5.268646803146e-04       1.684415070951e+00       1.378323401385e-07       9.615615120135e-04      -7.231590936131e-07 
   42       1.283839927195e+03       6.817844534312e-02       5.529154113606e-04       1.602709518799e+00       1.375053083637e-07       9.412539970274e-04      -7.476764348471e-07 
   43       1.302948725243e+03       7.370076430040e-02       5.796053627125e-04       1.510251884904e+00       1.371594498927e-07       9.214993741028e-04      -8.075627471658e-07 
   44       1.322267196080e+03       7.950091760948e-02       6.069347678553e-04       1.406918918854e+00       1.367875236495e-07       9.024148529443e-04      -8.820858198119e-07 
   45       1.341830862601e+03       8.558354126474e-02       6.349037813552e-04       1.292554601943e+00       1.363620288176e-07       8.840174951850e-04      -9.491480668979e-07 
   46       1.361652450841e+03       9.195203439574e-02       6.635123947619e-04       1.166788460031e+00       1.359068906740e-07       8.664196672445e-04      -1.004738346008e-06 
   47       1.381722093796e+03       9.860908265176e-02       6.927604940511e-04       1.029163183876e+00       1.354500133033e-07       8.496710246031e-04      -1.050705121841e-06 
   48       1.402006188192e+03       1.055568421003e-01       7.226478799746e-04       8.791811917481e-01       1.349992150247e-07       8.336807392040e-04      -1.089857396035e-06 
   49       1.422445428045e+03       1.127969156619e-01       7.531742657429e-04       7.163016567596e-01       1.345361349958e-07       8.181942873090e-04      -1.126083598567e-06 
   50       1.442978961868e+03       1.203304566491e-01       7.843392725819e-04       5.400281046357e-01       1.340281461692e-07       8.028971177294e-04      -1.163629110486e-06 
   51       1.463629156700e+03       1.281585671880e-01       8.161424203569e-04       3.502061348789e-01       1.334891124506e-07       7.878353338227e-04      -1.204275351091e-06 
   52       1.484436443210e+03       1.362819672095e-01       8.485831303978e-04       1.468013742145e-01       1.329389833875e-07       7.731217193567e-04      -1.249241315145e-06 
   53       1.505434483407e+03       1.447008596312e-01       8.816607250429e-04      -7.018277184032e-02       1.323846713520e-07       7.588131850213e-04      -1.299949263429e-06 
   54       1.526649433550e+03       1.534149127729e-01       9.153744252214e-04      -3.007038295039e-01       1.318164740251e-07       7.449011899654e-04      -1.358040979878e-06 
   55       1.548099718764e+03       1.624236062725e-01       9.497234031818e-04      -5.447109078869e-01       1.312163908611e-07       7.313445761021e-04      -1.424748870301e-06 
   56       1.569796979910e+03       1.717274097439e-01       9.847069615556e-04      -8.022485232292e-01       1.305978261688e-07       7.182065644483e-04      -1.498691900031e-06 
   57       1.591744070876e+03       1.813268661235e-01       1.020324394542e-03      -1.073376308219e+00       1.299781903444e-07       7.055505115678e-04      -1.577298451982e-06 
   58       1.613933865942e+03       1.912222504776e-01       1.056574936399e-03      -1.358139287065e+00       1.293663162662e-07       6.933952827149e-04      -1.657324918700e-06 
   59       1.636348542638e+03       2.014135665812e-01       1.093457761170e-03      -1.656567830459e+00       1.287602586836e-07       6.817087481494e-04      -1.734793741421e-06 
   60       1.658958864586e+03       2.119005434964e-01       1.130971982418e-03      -1.968677610549e+00       1.281448927120e-07       6.704010005082e-04      -1.804929268486e-06 
   61       1.681735834621e+03       2.226819151812e-01       1.169116761702e-03      -2.294461629575e+00       1.274999499111e-07       6.593642554316e-04      -1.863166277141e-06 
   62       1.704690333081e+03       2.337530781014e-01       1.207891663062e-03      -2.633864316816e+00       1.268348064839e-07       6.486250252033e-04      -1.908732339846e-06 
   63       1.727841144651e+03       2.451078993807e-01       1.247296377990e-03      -2.986801511054e+00       1.261643757607e-07       6.382302553135e-04      -1.942145488998e-06 
   64       1.751203054993e+03       2.567393617222e-01       1.287330626817e-03      -3.353167583187e+00       1.254986673096e-07       6.282015141945e-04      -1.964273647596e-06 
   65       1.774786526092e+03       2.686395372385e-01       1.327994161904e-03      -3.732835139702e+00       1.248415740597e-07       6.185315770051e-04      -1.976368554407e-06 
   66       1.798597371612e+03       2.807995612812e-01       1.369286770815e-03      -4.125654726144e+00       1.241895574800e-07       6.091808758506e-04      -1.980100835811e-06 
   67       1.822636432239e+03       2.932096062703e-01       1.411208279504e-03      -4.531454530588e+00       1.235302275678e-07       6.000738164363e-04      -1.977596224325e-06 
   68       1.846902858774e+03       3.058599211983e-01       1.453758622318e-03      -4.950050139094e+00       1.228484824298e-07       5.911283429066e-04      -1.971033336464e-06 
   69       1.871405459575e+03       3.187442532284e-01       1.496938061367e-03      -5.381276760303e+00       1.221515337842e-07       5.823640006217e-04      -1.961207138857e-06 
   70       1.896153079753e+03       3.318570755738e-01       1.540747017522e-03      -5.824963027696e+00       1.214511006490e-07       5.738196453000e-04      -1.948598472739e-06 
