# Matter power spectrum P(k) at redshift z=100
# for k=1.04342e-05 to 1055.3 h/Mpc,
# number of wavenumbers equal to 632
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043424818159e-05       6.931077309552e-03 
       2.331415921247e-05       1.507515030729e-02 
       3.623931803809e-05       2.308888897106e-02 
       4.924449515852e-05       3.105395698895e-02 
       6.236503573839e-05       3.901762429674e-02 
       7.563717471910e-05       4.701582011777e-02 
       8.909836200060e-05       5.507960302772e-02 
       1.027876020175e-04       6.323782950335e-02 
       1.167458120668e-04       7.151852795231e-02 
       1.310162037789e-04       7.994974552091e-02 
       1.456446921286e-04       8.856014284695e-02 
       1.606803363246e-04       9.737946550460e-02 
       1.761758167372e-04       1.064389566841e-01 
       1.921879516540e-04       1.157717358101e-01 
       2.087782569954e-04       1.254131700217e-01 
       2.260135510470e-04       1.354012510052e-01 
       2.439666045981e-04       1.457769703184e-01 
       2.627168344057e-04       1.565847078022e-01 
       2.823510343511e-04       1.678726353828e-01 
       3.029641336974e-04       1.796931089309e-01 
       3.246599651053e-04       1.921030643486e-01 
       3.475520161300e-04       2.051643898687e-01 
       3.717641264082e-04       2.189442527695e-01 
       3.974310784175e-04       2.335153491318e-01 
       4.246990125550e-04       2.489560523818e-01 
       4.537255778781e-04       2.653503835649e-01 
       4.846797095312e-04       2.827877680590e-01 
       5.177409051938e-04       3.013624974937e-01 
       5.530978599375e-04       3.211728092856e-01 
       5.909463175373e-04       3.423195474360e-01 
       6.314860139264e-04       3.649042830355e-01 
       6.749166330592e-04       3.890269110529e-01 
       7.214327733846e-04       4.147827239729e-01 
       7.712180362127e-04       4.422589960825e-01 
       8.244384888035e-04       4.715313031847e-01 
       8.812359068656e-04       5.026597530441e-01 
       9.417213334896e-04       5.356854730778e-01 
       1.005969567549e-03       5.706276852486e-01 
       1.074015180681e-03       6.074817011611e-01 
       1.145850540920e-03       6.462180906920e-01 
       1.221426102816e-03       6.867831456627e-01 
       1.300652947584e-03       7.291006215423e-01 
       1.383407280931e-03       7.730700441627e-01 
       1.469536379877e-03       8.185817743924e-01 
       1.558865363810e-03       8.655128651201e-01 
       1.651204159850e-03       9.137309433367e-01 
       1.746354120612e-03       9.630993928791e-01 
       1.844113897565e-03       1.013480748748e+00 
       1.944284336061e-03       1.064739469232e+00 
       2.046672306651e-03       1.116744135453e+00 
       2.151093502854e-03       1.169369010269e+00 
       2.257374311755e-03       1.222495098217e+00 
       2.365352903918e-03       1.276010812236e+00 
       2.474879700979e-03       1.329812137501e+00 
       2.585817372062e-03       1.383802715104e+00 
       2.698040492158e-03       1.437893661151e+00 
       2.811434972953e-03       1.492003102488e+00 
       2.925897353481e-03       1.546056178455e+00 
       3.041334016956e-03       1.599984082674e+00 
       3.157660382076e-03       1.653724117445e+00 
       3.274800102595e-03       1.707218828062e+00 
       3.392684297570e-03       1.760416098006e+00 
       3.511250826177e-03       1.813268101919e+00 
       3.630443614737e-03       1.865731652803e+00 
       3.750212039206e-03       1.917767166967e+00 
       3.870510363354e-03       1.969339055843e+00 
       3.991297230898e-03       2.020414660957e+00 
       4.112535208638e-03       2.070965019822e+00 
       4.234190376953e-03       2.120963046762e+00 
       4.356231963751e-03       2.170385379880e+00 
       4.478632017852e-03       2.219210523695e+00 
       4.601365117956e-03       2.267419595062e+00 
       4.724408113511e-03       2.314995488444e+00 
       4.847739894063e-03       2.361923202945e+00 
       4.971341183988e-03       2.408189773881e+00 
       5.095194359751e-03       2.453783529529e+00 
       5.219283287167e-03       2.498694253181e+00 
       5.343593176369e-03       2.542915440258e+00 
       5.468110452477e-03       2.586438304658e+00 
       5.592822640147e-03       2.629258209434e+00 
       5.717718260425e-03       2.671370558882e+00 
       5.842786738495e-03       2.712772278824e+00 
       5.968018321074e-03       2.753461181588e+00 
       6.093404002368e-03       2.793436257836e+00 
       6.218935457619e-03       2.832697401139e+00 
       6.344604983390e-03       2.871245095109e+00 
       6.470405443853e-03       2.909079550418e+00 
       6.596330222392e-03       2.946205634807e+00 
       6.722373177975e-03       2.982624219560e+00 
       6.848528605738e-03       3.018338817729e+00 
       6.974791201368e-03       3.053354167664e+00 
       7.101156028851e-03       3.087674724351e+00 
       7.227618491246e-03       3.121304457939e+00 
       7.354174304171e-03       3.154249299418e+00 
       7.480819471708e-03       3.186515496835e+00 
       7.607550264495e-03       3.218109128629e+00 
       7.734363199778e-03       3.249035269295e+00 
       7.861255023222e-03       3.279303334587e+00 
       7.988222692320e-03       3.308917959130e+00 
       8.115263361231e-03       3.337885685968e+00 
       8.242374366917e-03       3.366215163370e+00 
       8.369553216446e-03       3.393913613350e+00 
       8.496797575371e-03       3.420988738730e+00 
       8.624105257053e-03       3.447447418627e+00 
       8.751474212869e-03       3.473297054414e+00 
       8.878902523213e-03       3.498545962928e+00 
       9.006388389210e-03       3.523200821812e+00 
       9.133930125099e-03       3.547270699786e+00 
       9.261526151205e-03       3.570761929908e+00 
       9.389174987464e-03       3.593682912177e+00 
       9.516875247442e-03       3.616040039656e+00 
       9.644625632818e-03       3.637842551164e+00 
       9.772424928278e-03       3.659095505128e+00 
       9.900271996795e-03       3.679808981898e+00 
       1.002816577526e-02       3.699986854248e+00 
       1.015610527045e-02       3.719638885492e+00 
       1.028408955524e-02       3.738772237275e+00 
       1.041211776517e-02       3.757391413159e+00 
       1.054018909521e-02       3.775504691779e+00 
       1.066830279674e-02       3.793119736121e+00 
       1.079645817481e-02       3.810241046598e+00 
       1.092465458552e-02       3.826876730135e+00 
       1.105289143365e-02       3.843031116175e+00 
       1.118116817043e-02       3.858711741760e+00 
       1.130948429144e-02       3.873926421509e+00 
       1.143783933471e-02       3.888678148514e+00 
       1.156623287889e-02       3.902973196393e+00 
       1.169466454164e-02       3.916818388347e+00 
       1.182313397803e-02       3.930219068635e+00 
       1.195164087910e-02       3.943181062676e+00 
       1.208018497055e-02       3.955708214119e+00 
       1.220876601146e-02       3.967810912831e+00 
       1.233738379313e-02       3.979485630211e+00 
       1.246603813802e-02       3.990745860099e+00 
       1.259472889875e-02       4.001592973041e+00 
       1.272345595715e-02       4.012032043809e+00 
       1.285221922340e-02       4.022069565379e+00 
       1.298101863526e-02       4.031706815283e+00 
       1.310985415731e-02       4.040954099723e+00 
       1.323872578024e-02       4.049811108935e+00 
       1.336763352029e-02       4.058284283397e+00 
       1.349657741858e-02       4.066380595177e+00 
       1.362555754067e-02       4.074100726768e+00 
       1.375457397598e-02       4.081450526866e+00 
       1.388362683741e-02       4.088436646793e+00 
       1.401271626091e-02       4.095062045192e+00 
       1.414184240508e-02       4.101329653619e+00 
       1.427100545089e-02       4.107247072645e+00 
       1.440020560134e-02       4.112814178133e+00 
       1.452944308120e-02       4.118039613027e+00 
       1.465871813677e-02       4.122926143843e+00 
       1.478803103568e-02       4.127477926694e+00 
       1.491738206673e-02       4.131699642931e+00 
       1.504677153968e-02       4.135593277531e+00 
       1.517619978518e-02       4.139164731273e+00 
       1.530566715463e-02       4.142419490241e+00 
       1.543517402014e-02       4.145358819662e+00 
       1.556472077443e-02       4.147989694619e+00 
       1.569430783085e-02       4.150313928716e+00 
