# Matter power spectrum P(k) at redshift z=100
# for k=1.04342e-05 to 1055.3 h/Mpc,
# number of wavenumbers equal to 632
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043424818159e-05       7.010857140843e-03 
       2.331415921247e-05       1.524866740376e-02 
       3.623931803809e-05       2.335463255305e-02 
       4.924449515852e-05       3.141135039669e-02 
       6.236503573839e-05       3.946662877509e-02 
       7.563717471910e-05       4.755680381108e-02 
       8.909836200060e-05       5.571328412219e-02 
       1.027876020175e-04       6.396525014044e-02 
       1.167458120668e-04       7.234104339432e-02 
       1.310162037789e-04       8.086902298155e-02 
       1.456446921286e-04       8.957816673160e-02 
       1.606803363246e-04       9.849854772508e-02 
       1.761758167372e-04       1.076617511590e-01 
       1.921879516540e-04       1.171012567817e-01 
       2.087782569954e-04       1.268528139431e-01 
       2.260135510470e-04       1.369548216872e-01 
       2.439666045981e-04       1.474487072512e-01 
       2.627168344057e-04       1.583793178330e-01 
       2.823510343511e-04       1.697953266887e-01 
       3.029641336974e-04       1.817496286379e-01 
       3.246599651053e-04       1.942997359401e-01 
       3.475520161300e-04       2.075081534890e-01 
       3.717641264082e-04       2.214427039966e-01 
       3.974310784175e-04       2.361767759657e-01 
       4.246990125550e-04       2.517894677576e-01 
       4.537255778781e-04       2.683655490463e-01 
       4.846797095312e-04       2.859952062936e-01 
       5.177409051938e-04       3.047734866026e-01 
       5.530978599375e-04       3.247993538026e-01 
       5.909463175373e-04       3.461743178229e-01 
       6.314860139264e-04       3.690005161276e-01 
       6.749166330592e-04       3.933782634521e-01 
       7.214327733846e-04       4.194030700050e-01 
       7.712180362127e-04       4.471621658459e-01 
       8.244384888035e-04       4.767307565342e-01 
       8.812359068656e-04       5.081681926406e-01 
       9.417213334896e-04       5.415144026504e-01 
       1.005969567549e-03       5.767869270560e-01 
       1.074015180681e-03       6.139788903753e-01 
       1.145850540920e-03       6.530581713182e-01 
       1.221426102816e-03       6.939678904644e-01 
       1.300652947584e-03       7.366282021287e-01 
       1.383407280931e-03       7.809343406236e-01 
       1.469536379877e-03       8.267727143716e-01 
       1.558865363810e-03       8.740160631386e-01 
       1.651204159850e-03       9.225275020159e-01 
       1.746354120612e-03       9.721659107714e-01 
       1.844113897565e-03       1.022789413965e+00 
       1.944284336061e-03       1.074258226490e+00 
       2.046672306651e-03       1.126436916734e+00 
       2.151093502854e-03       1.179196016302e+00 
       2.257374311755e-03       1.232413120431e+00 
       2.365352903918e-03       1.285973586320e+00 
       2.474879700979e-03       1.339770716892e+00 
       2.585817372062e-03       1.393705860912e+00 
       2.698040492158e-03       1.447688240232e+00 
       2.811434972953e-03       1.501634487608e+00 
       2.925897353481e-03       1.555468650729e+00 
       3.041334016956e-03       1.609121225152e+00 
       3.157660382076e-03       1.662529204271e+00 
       3.274800102595e-03       1.715635201147e+00 
       3.392684297570e-03       1.768387532226e+00 
       3.511250826177e-03       1.820739154132e+00 
       3.630443614737e-03       1.872647994963e+00 
       3.750212039206e-03       1.924075900464e+00 
       3.870510363354e-03       1.974989005617e+00 
       3.991297230898e-03       2.025356649586e+00 
       4.112535208638e-03       2.075152117119e+00 
       4.234190376953e-03       2.124350800801e+00 
       4.356231963751e-03       2.172932017776e+00 
       4.478632017852e-03       2.220877133051e+00 
       4.601365117956e-03       2.268170277709e+00 
       4.724408113511e-03       2.314797491945e+00 
       4.847739894063e-03       2.360747024891e+00 
       4.971341183988e-03       2.406009240741e+00 
       5.095194359751e-03       2.450575854786e+00 
       5.219283287167e-03       2.494440070027e+00 
       5.343593176369e-03       2.537598793296e+00 
       5.468110452477e-03       2.580046661319e+00 
       5.592822640147e-03       2.621782403109e+00 
       5.717718260425e-03       2.662804739630e+00 
       5.842786738495e-03       2.703113833175e+00 
       5.968018321074e-03       2.742710638213e+00 
