# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.04342e-05 to 1055.3 h/Mpc,
# number of wavenumbers equal to 632
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       1.043424818159e-05       2.369986455672e+05       2.369986372482e+05       3.159968753347e+05       3.159967177126e+05       2.725891063504e+05       2.391881791643e+05 
       2.331415921247e-05       2.369984114583e+05       2.369983699259e+05       3.159912981254e+05       3.159905112153e+05       2.725849003710e+05       2.391877773822e+05 
       3.623931803809e-05       2.369979825721e+05       2.369978822235e+05       3.159814029546e+05       3.159795017380e+05       2.725774359829e+05       2.391870514495e+05 
       4.924449515852e-05       2.369973660062e+05       2.369971807107e+05       3.159671156582e+05       3.159636051957e+05       2.725666588277e+05       2.391860059010e+05 
       6.236503573839e-05       2.369965485240e+05       2.369962513383e+05       3.159482901056e+05       3.159426601832e+05       2.725524576139e+05       2.391846233394e+05 
       7.563717471910e-05       2.369955273732e+05       2.369950902409e+05       3.159247469373e+05       3.159164665030e+05       2.725346978274e+05       2.391828954645e+05 
       8.909836200060e-05       2.369942900472e+05       2.369936834694e+05       3.158962435048e+05       3.158847545598e+05       2.725131960706e+05       2.391808025481e+05 
       1.027876020175e-04       2.369928268497e+05       2.369920195658e+05       3.158624859528e+05       3.158471972639e+05       2.724877311875e+05       2.391783259780e+05 
       1.167458120668e-04       2.369911199900e+05       2.369900785806e+05       3.158231096077e+05       3.158033894480e+05       2.724580277812e+05       2.391754370818e+05 
       1.310162037789e-04       2.369891504141e+05       2.369878388576e+05       3.157776811524e+05       3.157528493719e+05       2.724237589160e+05       2.391721038045e+05 
       1.456446921286e-04       2.369868962893e+05       2.369852755139e+05       3.157256883149e+05       3.156950074968e+05       2.723845382318e+05       2.391682889267e+05 
       1.606803363246e-04       2.369843306277e+05       2.369823579579e+05       3.156665268180e+05       3.156291921446e+05       2.723399097362e+05       2.391639473475e+05 
       1.761758167372e-04       2.369814233857e+05       2.369790518858e+05       3.155994910712e+05       3.155546189364e+05       2.722893412602e+05       2.391590278211e+05 
       1.921879516540e-04       2.369781386321e+05       2.369753164493e+05       3.155237561230e+05       3.154703710292e+05       2.722322104838e+05       2.391534696627e+05 
       2.087782569954e-04       2.369744346944e+05       2.369711043318e+05       3.154383607708e+05       3.153753802591e+05       2.721677923975e+05       2.391472023668e+05 
       2.260135510470e-04       2.369702620942e+05       2.369663591959e+05       3.153421850945e+05       3.152684019161e+05       2.720952417915e+05       2.391401428417e+05 
       2.439666045981e-04       2.369655642933e+05       2.369610166993e+05       3.152339269203e+05       3.151479891782e+05       2.720135763817e+05       2.391321954675e+05 
       2.627168344057e-04       2.369602753943e+05       2.369550020904e+05       3.151120701772e+05       3.150124583878e+05       2.719216528847e+05       2.391232488927e+05 
       2.823510343511e-04       2.369543180055e+05       2.369482270923e+05       3.149748508557e+05       3.148598496917e+05       2.718181400973e+05       2.391131727571e+05 
       3.029641336974e-04       2.369476028966e+05       2.369405902661e+05       3.148202153734e+05       3.146878821873e+05       2.717014886389e+05       2.391018162193e+05 
       3.246599651053e-04       2.369400249172e+05       2.369319720810e+05       3.146457712479e+05       3.144939001449e+05       2.715698939043e+05       2.390890023782e+05 
       3.475520161300e-04       2.369314623513e+05       2.369222340270e+05       3.144487336272e+05       3.142748118271e+05       2.714212546431e+05       2.390745259629e+05 
