# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.367849562179e-10       4.159909071982e-15       3.530348463250e-13       0.000000000000e+00       8.223399605946e-09       4.443498958426e-10      -1.841287543553e-12 
    3       1.295980145771e-10       5.346996199136e-15       3.964562815925e-13       0.000000000000e+00       5.057850687907e-09       3.152513585860e-10      -1.396809071751e-12 
    4       1.227584612123e-10       4.640615263936e-15       3.707767248298e-13       0.000000000000e+00       3.514784016332e-09       2.387319203282e-10      -9.170778779093e-13 
    5       1.176312104776e-10       3.106584982411e-15       3.158451044145e-13       0.000000000000e+00       2.623083105639e-09       1.885474645192e-10      -5.124128857290e-13 
    6       1.141218278383e-10       1.741246422023e-15       2.544259850883e-13       0.000000000000e+00       2.049014286048e-09       1.533731744954e-10      -2.134350289353e-13 
    7       1.118433156861e-10       9.395585831312e-16       1.997541798890e-13       0.000000000000e+00       1.653303918908e-09       1.275566842138e-10      -2.191437593001e-14 
    8       1.105277767867e-10       6.028674251810e-16       1.576469806781e-13       0.000000000000e+00       1.366745550058e-09       1.079836889438e-10       7.665378817927e-14 
    9       1.099350434020e-10       4.823982091020e-16       1.293951017688e-13       0.000000000000e+00       1.151164771214e-09       9.280645059703e-11       1.051778260024e-13 
   10       1.098338747961e-10       4.113555200005e-16       1.137164242160e-13       0.000000000000e+00       9.840754148251e-10       8.078951589724e-11       8.919326155306e-14 
   11       1.101736248506e-10       3.459110591533e-16       1.079599024065e-13       0.000000000000e+00       8.273503838153e-10       7.139550079028e-11       5.264066037108e-14 
   12       1.108001748379e-10       3.009571747775e-16       1.090799730596e-13       0.000000000000e+00       7.227809274282e-10       6.311198886338e-11       1.309236909778e-14 
   13       1.116653024131e-10       2.879750491188e-16       1.143824444644e-13       0.000000000000e+00       6.369529505170e-10       5.639602809401e-11      -1.734660200137e-14 
   14       1.127291711112e-10       2.995056121591e-16       1.218060328639e-13       0.000000000000e+00       5.655577925086e-10       5.056087810588e-11      -3.424495901987e-14 
   15       1.139734816784e-10       3.237321271427e-16       1.300569262007e-13       0.000000000000e+00       5.054720239352e-10       4.565170406168e-11      -3.764109363236e-14 
   16       1.153207045839e-10       3.577923882327e-16       1.384535553480e-13       0.000000000000e+00       4.543925968492e-10       4.141735014935e-11      -3.133517915343e-14 
   17       1.168046674164e-10       4.071109976378e-16       1.467923662688e-13       0.000000000000e+00       4.105826371517e-10       3.771986561638e-11      -2.044781307656e-14 
   18       1.183607032534e-10       4.772602788741e-16       1.553144280952e-13       0.000000000000e+00       3.725629940193e-10       3.450338219146e-11      -9.869058055334e-15 
   19       1.200003261937e-10       5.686828495531e-16       1.642228296609e-13       0.000000000000e+00       3.397310526408e-10       3.171799091199e-11      -2.266602956463e-15 
   20       1.217179878120e-10       6.794687880295e-16       1.736486592955e-13       0.000000000000e+00       3.108179251346e-10       2.924123999285e-11       5.486225967718e-16 
   21       1.235136013022e-10       8.089612375297e-16       1.835762286900e-13       0.000000000000e+00       2.853685563219e-10       2.702777679266e-11      -9.316753869733e-16 
   22       1.253589825648e-10       9.566245991086e-16       1.938606252067e-13       0.000000000000e+00       2.627738710919e-10       2.502574008453e-11      -5.023982041466e-15 
   23       1.272610140495e-10       1.122693681068e-15       2.041612944630e-13       0.000000000000e+00       2.427227558886e-10       2.323102676866e-11      -9.986638012424e-15 
   24       1.292162046929e-10       1.307443507887e-15       2.140345057209e-13       0.000000000000e+00       2.247510018595e-10       2.163101979738e-11      -1.393506537742e-14 
   25       1.312241342161e-10       1.510887210896e-15       2.232003432606e-13       0.000000000000e+00       2.086466866137e-10       2.020107651342e-11      -1.600061586451e-14 
   26       1.332702405108e-10       1.733187935232e-15       2.314296514903e-13       0.000000000000e+00       1.941177874073e-10       1.889961901085e-11      -1.580319281946e-14 
   27       1.353520229371e-10       1.976323782924e-15       2.386001462673e-13       0.000000000000e+00       1.809897610759e-10       1.771314413086e-11      -1.392947351060e-14 
   28       1.374617882189e-10       2.242831988497e-15       2.446528884615e-13       0.000000000000e+00       1.690360660630e-10       1.662889587388e-11      -1.136203157641e-14 
   29       1.396083749443e-10       2.534209050221e-15       2.496478933582e-13       0.000000000000e+00       1.581954984966e-10       1.564408854997e-11      -8.759054536798e-15 
   30       1.417942318024e-10       2.851629586576e-15       2.537206064124e-13       0.000000000000e+00       1.483514464156e-10       1.474958050287e-11      -6.797779855741e-15 
   31       1.440113705779e-10       3.196205346373e-15       2.570118430872e-13       0.000000000000e+00       1.393028464199e-10       1.392786455710e-11      -6.110077614521e-15 
   32       1.462630338595e-10       3.568851136247e-15       2.594798582925e-13       0.000000000000e+00       1.310028609934e-10       1.317150780120e-11      -6.540444206641e-15 
   33       1.485474863498e-10       3.970355002751e-15       2.610172319775e-13       0.000000000000e+00       1.233927048830e-10       1.246995430516e-11      -7.597816215284e-15 
   34       1.508559825495e-10       4.401453109507e-15       2.614992677217e-13       0.000000000000e+00       1.163657567886e-10       1.180932191998e-11      -8.726981681660e-15 
   35       1.531900798320e-10       4.863000763275e-15       2.607893640427e-13       0.000000000000e+00       1.098859680120e-10       1.119120622604e-11      -9.628461911296e-15 
   36       1.555486388023e-10       5.355852366535e-15       2.587328978061e-13       0.000000000000e+00       1.039012587351e-10       1.061970660232e-11      -1.004141360459e-14 
   37       1.579264007954e-10       5.880815779626e-15       2.551880592638e-13       0.000000000000e+00       9.833362956033e-11       1.009602481932e-11      -9.749654493778e-15 
   38       1.603278301581e-10       6.438663848789e-15       2.501416821793e-13       0.000000000000e+00       9.316866008452e-11       9.617964137327e-12      -8.901976542500e-15 
   39       1.627567086058e-10       7.030120313184e-15       2.436323117293e-13       0.000000000000e+00       8.838994101661e-11       9.179738060957e-12      -7.801228322642e-15 
   40       1.652117257845e-10       7.655852047663e-15       2.357209400755e-13       0.000000000000e+00       8.395185227741e-11       8.771702519599e-12      -6.824764084661e-15 
   41       1.676888662171e-10       8.316487397227e-15       2.264666309493e-13       0.000000000000e+00       7.979545043136e-11       8.383316839662e-12      -6.325978393511e-15 
   42       1.701908275783e-10       9.012687141517e-15       2.158405847206e-13       0.000000000000e+00       7.590847606095e-11       8.013939979342e-12      -6.288774514319e-15 
   43       1.727197421252e-10       9.745090482141e-15       2.037863848809e-13       0.000000000000e+00       7.228059235582e-11       7.665020870308e-12      -6.568725103686e-15 
   44       1.752741620239e-10       1.051429294559e-14       1.902429139738e-13       0.000000000000e+00       6.888537865249e-11       7.337040172239e-12      -6.984408469355e-15 
   45       1.778508968715e-10       1.132084023898e-14       1.751506902171e-13       0.000000000000e+00       6.568976327156e-11       7.029672899235e-12      -7.357597869364e-15 
   46       1.804520034298e-10       1.216521269678e-14       1.584741095055e-13       0.000000000000e+00       6.268870191143e-11       6.742542853325e-12      -7.653546161935e-15 
   47       1.830792921292e-10       1.304783252457e-14       1.401851504616e-13       0.000000000000e+00       5.987868889591e-11       6.474543175905e-12      -7.878750669980e-15 
   48       1.857321049516e-10       1.396906506856e-14       1.202571785561e-13       0.000000000000e+00       5.724729800399e-11       6.223532665127e-12      -8.042273256008e-15 
   49       1.884070924902e-10       1.492921643425e-14       9.866492188194e-14       0.000000000000e+00       5.477251915551e-11       5.986261728033e-12      -8.155899692259e-15 
   50       1.911002539620e-10       1.592852777090e-14       7.538276020844e-14       0.000000000000e+00       5.242938497469e-11       5.759299834911e-12      -8.234708410204e-15 
   51       1.938142272690e-10       1.696716182103e-14       5.037910084917e-14       0.000000000000e+00       5.021350987055e-11       5.542286458830e-12      -8.298589010169e-15 
   52       1.965525923759e-10       1.804520860357e-14       2.362043431035e-14       0.000000000000e+00       4.812279379419e-11       5.335434570616e-12      -8.371411415038e-15 
   53       1.993176676210e-10       1.916268595075e-14      -4.927213560420e-15       0.000000000000e+00       4.615037813718e-11       5.138579981964e-12      -8.480826913032e-15 
   54       2.021103932680e-10       2.031953696982e-14      -3.529838517563e-14       0.000000000000e+00       4.428432547019e-11       4.951154427089e-12      -8.658446792762e-15 
   55       2.049309314197e-10       2.151566929033e-14      -6.752248306560e-14       0.000000000000e+00       4.251125996477e-11       4.772440653949e-12      -8.929719741947e-15 
   56       2.077809070513e-10       2.275109003850e-14      -1.016047475602e-13       0.000000000000e+00       4.082908137970e-11       4.602473573779e-12      -9.280210050199e-15 
