# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.367854277758e-10       4.160149647047e-15       3.530348423528e-13       2.405750218186e-19       8.223399605946e-09       4.443498958426e-10      -1.841287543553e-12 
    3       1.295989554008e-10       5.347477443567e-15       3.964562638880e-13       4.812440100218e-19       5.057850687907e-09       3.152513585860e-10      -1.396809071751e-12 
    4       1.227600242208e-10       4.641417546285e-15       3.707766739497e-13       8.022802804382e-19       3.514784016332e-09       2.387319203282e-10      -9.170778779093e-13 
    5       1.176335457065e-10       3.107788793420e-15       3.158449884819e-13       1.203803933260e-18       2.623083105639e-09       1.885474645192e-10      -5.124128857290e-13 
    6       1.141250818613e-10       1.742932402049e-15       2.544257570744e-13       1.685960755113e-18       2.049014286048e-09       1.533731744954e-10      -2.134350289353e-13 
    7       1.118476311258e-10       9.418075474193e-16       1.997537751324e-13       2.248919521307e-18       1.653303918908e-09       1.275566842138e-10      -2.191437593001e-14 
    8       1.105332919230e-10       6.057603864998e-16       1.576463146743e-13       2.892868944161e-18       1.366745550058e-09       1.079836889438e-10       7.665378817927e-14 
    9       1.099418918860e-10       4.860163972462e-16       1.293940682527e-13       3.618014357545e-18       1.151164771214e-09       9.280645059703e-11       1.051778260024e-13 
   10       1.098421854730e-10       4.157803976561e-16       1.137148935517e-13       4.424574234177e-18       9.840754148251e-10       8.078951589724e-11       8.919326155306e-14 
   11       1.101835216899e-10       3.512243336305e-16       1.079577202911e-13       5.312776635214e-18       8.273503838153e-10       7.139550079028e-11       5.264066037108e-14 
   12       1.108117769691e-10       3.072408051417e-16       1.090769595386e-13       6.282855691204e-18       7.227809274282e-10       6.311198886338e-11       1.309236909778e-14 
   13       1.116787242566e-10       2.953112482905e-16       1.143783932487e-13       7.335048209645e-18       6.369529505170e-10       5.639602809401e-11      -1.734660200137e-14 
   14       1.127445225964e-10       3.079768436199e-16       1.218007109342e-13       8.469590497266e-18       5.655577925086e-10       5.056087810588e-11      -3.424495901987e-14 
