# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.44321 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049743788834e-05       4.730185374909e+01 
       2.344149061265e-05       1.027851558509e+02 
       3.643149981730e-05       1.573668092312e+02 
       4.950276028451e-05       2.116087142371e+02 
       6.269115616887e-05       2.658354479641e+02 
       7.603348409663e-05       3.202932232217e+02 
       8.956778669209e-05       3.751945683459e+02 
       1.033337010070e-04       4.307366656766e+02 
       1.173728263632e-04       4.871108637113e+02 
       1.317291161523e-04       5.445083888044e+02 
       1.464492981412e-04       6.031245019050e+02 
       1.615833277646e-04       6.631616714394e+02 
       1.771848786948e-04       7.248323084545e+02 
       1.933118745825e-04       7.883613848328e+02 
       2.100270651551e-04       8.539888186130e+02 
       2.273986487162e-04       9.219720015304e+02 
       2.455009413065e-04       9.925881481658e+02 
       2.644150901568e-04       1.066137034999e+03 
       2.842298252762e-04       1.142943116156e+03 
       3.050422377370e-04       1.223358478259e+03 
       3.269585660364e-04       1.307764804548e+03 
       3.500949624078e-04       1.396575463860e+03 
       3.745781987433e-04       1.490237650822e+03 
       4.005462566086e-04       1.589232896322e+03 
       4.281487277653e-04       1.694077696532e+03 
       4.575469312724e-04       1.805321979834e+03 
       4.889136321705e-04       1.923546494167e+03 
       5.224322277816e-04       2.049357634634e+03 
       5.582952553105e-04       2.183379711648e+03 
       5.967020750666e-04       2.326244060349e+03 
       6.378556051298e-04       2.478574409462e+03 
       6.819580339237e-04       2.640968970605e+03 
       7.292055232308e-04       2.813978973898e+03 
       7.797820365538e-04       2.998084105396e+03 
       8.338525778120e-04       3.193667869102e+03 
       8.915562822269e-04       3.400991858397e+03 
       9.529999320418e-04       3.620174009995e+03 
       1.018252535567e-03       3.851171276935e+03 
       1.087341575589e-03       4.093770553377e+03 
       1.160251388524e-03       4.347588041630e+03 
       1.236923894747e-03       4.612077590344e+03 
       1.317261608829e-03       4.886549972891e+03 
       1.401132579080e-03       5.170169349253e+03 
       1.488376698540e-03       5.462049228091e+03 
       1.578812731533e-03       5.761244222340e+03 
       1.672245416184e-03       6.066768750250e+03 
       1.768472110102e-03       6.377634921488e+03 
       1.867288604350e-03       6.692877204377e+03 
       1.968493899128e-03       7.011568263521e+03 
       2.071893882655e-03       7.332833627475e+03 
