# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.44321 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049743788834e-05       4.730151556908e+01 
       2.344149061265e-05       1.027844280963e+02 
       3.643149981730e-05       1.573657142585e+02 
       4.950276028451e-05       2.116072792029e+02 
       6.269115616887e-05       2.658337070010e+02 
       7.603348409663e-05       3.202912187537e+02 
       8.956778669209e-05       3.751923523752e+02 
       1.033337010070e-04       4.307343012618e+02 
       1.173728263632e-04       4.871084267475e+02 
       1.317291161523e-04       5.445059701927e+02 
       1.464492981412e-04       6.031222102065e+02 
       1.615833277646e-04       6.631596361216e+02 
       1.771848786948e-04       7.248306838625e+02 
       1.933118745825e-04       7.883603550507e+02 
       2.100270651551e-04       8.539886034168e+02 
       2.273986487162e-04       9.219728636892e+02 
       2.455009413065e-04       9.925904024044e+02 
       2.644150901568e-04       1.066141059016e+03 
       2.842298252762e-04       1.142949364182e+03 
       3.050422377370e-04       1.223367497765e+03 
       3.269585660364e-04       1.307777256835e+03 
       3.500949624078e-04       1.396592149443e+03 
       3.745781987433e-04       1.490259540714e+03 
       4.005462566086e-04       1.589261170523e+03 
       4.281487277653e-04       1.694113791287e+03 
       4.575469312724e-04       1.805367645452e+03 
       4.889136321705e-04       1.923603865399e+03 
       5.224322277816e-04       2.049429315779e+03 
       5.582952553105e-04       2.183468878558e+03 
       5.967020750666e-04       2.326354581314e+03 
       6.378556051298e-04       2.478710986434e+03 
       6.819580339237e-04       2.641137301299e+03 
       7.292055232308e-04       2.814185933753e+03 
       7.797820365538e-04       2.998337946334e+03 
       8.338525778120e-04       3.193978429374e+03 
       8.915562822269e-04       3.401370774670e+03 
       9.529999320418e-04       3.620634919950e+03 
       1.018252535567e-03       3.851729997852e+03 
       1.087341575589e-03       4.094445221032e+03 
       1.160251388524e-03       4.348399193760e+03 
       1.236923894747e-03       4.613048181285e+03 
       1.317261608829e-03       4.887705310413e+03 
       1.401132579080e-03       5.171536933234e+03 
       1.488376698540e-03       5.463658550657e+03 
       1.578812731533e-03       5.763126477092e+03 
       1.672245416184e-03       6.068956480190e+03 
       1.768472110102e-03       6.380161639426e+03 
       1.867288604350e-03       6.695776999880e+03 
       1.968493899128e-03       7.014875416085e+03 
       2.071893882655e-03       7.336582245316e+03 
       2.177303965780e-03       7.660083755085e+03 
       2.284550794963e-03       7.984631561335e+03 
       2.393473200280e-03       8.309545761987e+03 
       2.503922541899e-03       8.634212825918e+03 
       2.615762607533e-03       8.958083112199e+03 
       2.728869192953e-03       9.280668996053e+03 
       2.843129473661e-03       9.601538491541e+03 
       2.958441252205e-03       9.920312827019e+03 
       3.074712144456e-03       1.023665906707e+04 
       3.191858750442e-03       1.055028792349e+04 
       3.309805841129e-03       1.086094805711e+04 
       3.428485581606e-03       1.116842295318e+04 
       3.547836802981e-03       1.147252463253e+04 
       3.667804329409e-03       1.177309479395e+04 
       3.788338362565e-03       1.206999665748e+04 
       3.909393923088e-03       1.236311706326e+04 
       4.030930346750e-03       1.265235908087e+04 
       4.152910832013e-03       1.293764486580e+04 
       4.275302035112e-03       1.321890949280e+04 
       4.398073708526e-03       1.349610312149e+04 
       4.521198378752e-03       1.376918358315e+04 
       4.644651059426e-03       1.403812395347e+04 
       4.768408996077e-03       1.430289793656e+04 
       4.892451439082e-03       1.456348706531e+04 
       5.016759441706e-03       1.481990471184e+04 
       5.141315680392e-03       1.507214265055e+04 
       5.266104294767e-03       1.532019693839e+04 
       5.391110745116e-03       1.556409130515e+04 
       5.516321685304e-03       1.580382359686e+04 
       5.641724849364e-03       1.603941698359e+04 
       5.767308950195e-03       1.627088598573e+04 
       5.893063588960e-03       1.649825567478e+04 
       6.018979173974e-03       1.672155167826e+04 
       6.145046848005e-03       1.694079836370e+04 
       6.271258423022e-03       1.715602568078e+04 
       6.397606321579e-03       1.736726682405e+04 
       6.524083524066e-03       1.757454644180e+04 
       6.650683521208e-03       1.777790228203e+04 
       6.777400271221e-03       1.797736641944e+04 
       6.904228161122e-03       1.817297034358e+04 
       7.031161971749e-03       1.836475594069e+04 
       7.158196846100e-03       1.855275615714e+04 
       7.285328260637e-03       1.873700357189e+04 
       7.412551999239e-03       1.891753527977e+04 
       7.539864129549e-03       1.909439226144e+04 
       7.667260981458e-03       1.926761018950e+04 
       7.794739127506e-03       1.943722106926e+04 
       7.922295365022e-03       1.960327170461e+04 
