# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.44321 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049743788834e-05       4.730151556908e+01 
       2.344149061265e-05       1.027844280963e+02 
       3.643149981730e-05       1.573657142585e+02 
       4.950276028451e-05       2.116072792029e+02 
       6.269115616887e-05       2.658337070010e+02 
       7.603348409663e-05       3.202912187537e+02 
       8.956778669209e-05       3.751923523752e+02 
       1.033337010070e-04       4.307343012618e+02 
       1.173728263632e-04       4.871084267475e+02 
       1.317291161523e-04       5.445059701927e+02 
       1.464492981412e-04       6.031222102065e+02 
       1.615833277646e-04       6.630868399995e+02 
       1.771848786948e-04       7.247434552577e+02 
       1.933118745825e-04       7.882568680890e+02 
       2.100270651551e-04       8.538668334980e+02 
       2.273986487162e-04       9.218305547771e+02 
       2.455009413065e-04       9.924250291770e+02 
       2.644150901568e-04       1.065949782890e+03 
       2.842298252762e-04       1.142728982256e+03 
       3.050422377370e-04       1.223114383313e+03 
       3.269585660364e-04       1.307487290149e+03 
       3.500949624078e-04       1.396260637458e+03 
       3.745781987433e-04       1.489881123677e+03 
       4.005462566086e-04       1.588829714234e+03 
       4.281487277653e-04       1.693622262981e+03 
       4.575469312724e-04       1.804807972004e+03 
       4.889136321705e-04       1.922966772489e+03 
       5.224322277816e-04       2.048704147520e+03 
       5.582952553105e-04       2.182643397914e+03 
       5.967020750666e-04       2.325414752993e+03 
       6.378556051298e-04       2.477640745873e+03 
       6.819580339237e-04       2.639918315315e+03 
       7.292055232308e-04       2.812797361141e+03 
       7.797820365538e-04       2.996756209424e+03 
       8.338525778120e-04       3.192177008884e+03 
       8.915562822269e-04       3.399320042991e+03 
       9.529999320418e-04       3.618302026658e+03 
       1.018252535567e-03       3.849078820600e+03 
       1.087341575589e-03       4.091436390478e+03 
       1.160251388524e-03       4.344990196896e+03 
       1.236923894747e-03       4.609193541678e+03 
       1.317261608829e-03       4.883356835660e+03 
       1.401132579080e-03       5.166644045212e+03 
       1.488376698540e-03       5.458168594681e+03 
       1.578812731533e-03       5.756985084384e+03 
       1.672245416184e-03       6.062107948830e+03 
       1.768472110102e-03       6.372549296985e+03 
       1.867288604350e-03       6.687343544099e+03 
       1.968493899128e-03       7.005563230481e+03 
       2.071893882655e-03       7.326333680684e+03 
       2.177303965780e-03       7.648841377059e+03 
       2.284550794963e-03       7.972338364488e+03 
       2.393473200280e-03       8.296145349310e+03 
       2.503922541899e-03       8.619649560558e+03 
       2.615762607533e-03       8.942302242759e+03 
       2.728869192953e-03       9.263616755396e+03 
       2.843129473661e-03       9.583162178981e+03 
       2.958441252205e-03       9.900560869067e+03 
       3.074712144456e-03       1.021548106876e+04 
       3.191858750442e-03       1.052763470267e+04 
       3.309805841129e-03       1.083677167117e+04 
       3.428485581606e-03       1.114267671510e+04 
       3.547836802981e-03       1.144516312601e+04 
       3.667804329409e-03       1.174407387187e+04 
       3.788338362565e-03       1.203927344797e+04 
       3.909393923088e-03       1.233064995971e+04 
       4.030930346750e-03       1.261810774153e+04 
       4.152910832013e-03       1.290157019743e+04 
       4.275302035112e-03       1.318097364364e+04 
       4.398073708526e-03       1.345626946148e+04 
       4.521198378752e-03       1.372741670043e+04 
       4.644651059426e-03       1.399438962259e+04 
       4.768408996077e-03       1.425716312824e+04 
       4.892451439082e-03       1.451571993099e+04 
       5.016759441706e-03       1.477007448096e+04 
       5.141315680392e-03       1.502021970462e+04 
       5.266104294767e-03       1.526615279946e+04 
       5.391110745116e-03       1.550789853468e+04 
       5.516321685304e-03       1.574545588761e+04 
       5.641724849364e-03       1.597884906193e+04 
       5.767308950195e-03       1.620809363889e+04 
       5.893063588960e-03       1.643321570320e+04 
       6.018979173974e-03       1.665424188494e+04 
       6.145046848005e-03       1.687119755106e+04 
       6.271258423022e-03       1.708411361812e+04 
       6.397606321579e-03       1.729302422292e+04 
       6.524083524066e-03       1.749795498332e+04 
       6.650683521208e-03       1.769894454787e+04 
       6.777400271221e-03       1.789602590543e+04 
       6.904228161122e-03       1.808923145131e+04 
       7.031161971749e-03       1.827860391571e+04 
       7.158196846100e-03       1.846417711874e+04 
       7.285328260637e-03       1.864598450338e+04 
       7.412551999239e-03       1.882406399367e+04 
       7.539864129549e-03       1.899845736606e+04 
       7.667260981458e-03       1.916920110268e+04 
       7.794739127506e-03       1.933632802564e+04 
       7.922295365022e-03       1.949988566264e+04 
