# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.44321 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049743788834e-05       4.730185374909e+01 
       2.344149061265e-05       1.027851558509e+02 
       3.643149981730e-05       1.573668092312e+02 
       4.950276028451e-05       2.116087142371e+02 
       6.269115616887e-05       2.658354479641e+02 
       7.603348409663e-05       3.202932232217e+02 
       8.956778669209e-05       3.751945683459e+02 
       1.033337010070e-04       4.307366656766e+02 
       1.173728263632e-04       4.871108637113e+02 
       1.317291161523e-04       5.445083888044e+02 
       1.464492981412e-04       6.031245019050e+02 
       1.615833277646e-04       6.630893785708e+02 
       1.771848786948e-04       7.247456831200e+02 
       1.933118745825e-04       7.882586138756e+02 
       2.100270651551e-04       8.538678915458e+02 
       2.273986487162e-04       9.218306780578e+02 
       2.455009413065e-04       9.924239206025e+02 
       2.644150901568e-04       1.065947084607e+03 
       2.842298252762e-04       1.142724262450e+03 
       3.050422377370e-04       1.223107119930e+03 
       3.269585660364e-04       1.307476850796e+03 
       3.500949624078e-04       1.396246254600e+03 
       3.745781987433e-04       1.489861864028e+03 
       4.005462566086e-04       1.588804441053e+03 
       4.281487277653e-04       1.693589589716e+03 
       4.575469312724e-04       1.804766205522e+03 
       4.889136321705e-04       1.922913843888e+03 
       5.224322277816e-04       2.048637528377e+03 
       5.582952553105e-04       2.182559999794e+03 
       5.967020750666e-04       2.325310808234e+03 
       6.378556051298e-04       2.477511668182e+03 
       6.819580339237e-04       2.639758539584e+03 
       7.292055232308e-04       2.812600163488e+03 
       7.797820365538e-04       2.996513510417e+03 
       8.338525778120e-04       3.191879165609e+03 
       8.915562822269e-04       3.398955638696e+03 
       9.529999320418e-04       3.617857669615e+03 
       1.018252535567e-03       3.848538966597e+03 
       1.087341575589e-03       4.090783204563e+03 
       1.160251388524e-03       4.344203470043e+03 
       1.236923894747e-03       4.608250675755e+03 
       1.317261608829e-03       4.882232905717e+03 
       1.401132579080e-03       5.165311959270e+03 
       1.488376698540e-03       5.456599292131e+03 
       1.578812731533e-03       5.755147824783e+03 
       1.672245416184e-03       6.059970661715e+03 
       1.768472110102e-03       6.370078959176e+03 
       1.867288604350e-03       6.684506570450e+03 
       1.968493899128e-03       7.002325858439e+03 
       2.071893882655e-03       7.322662329341e+03 
