# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.04974e-05 to 8.44321 h/Mpc,
# number of wavenumbers equal to 611
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                
       1.049743788834e-05      -1.317016467679e-03      -9.882801366243e-04      -9.882801591888e-04      -1.317001588986e-03      -9.880510498922e-04      -9.883623043269e-04       4.731768824744e-01       4.730509049318e-01 
       2.344149061265e-05      -6.553682000749e-03      -4.928124395188e-03      -4.928124956067e-03      -6.553312626539e-03      -4.926944366186e-03      -4.928530846367e-03       4.731736813275e-01       4.730480841026e-01 
       3.643149981730e-05      -1.577095982831e-02      -1.190313403919e-02      -1.190313730912e-02      -1.576881109194e-02      -1.190012277595e-02      -1.190410175757e-02       4.731679643230e-01       4.730430383206e-01 
       4.950276028451e-05      -2.896246244917e-02      -2.197658973475e-02      -2.197660087034e-02      -2.895516814642e-02      -2.197060060037e-02      -2.197833924034e-02       4.731597244758e-01       4.730357631393e-01 
       6.269115616887e-05      -4.612346264791e-02      -3.524572570591e-02      -3.524575431200e-02      -4.610480255254e-02      -3.523521322327e-02      -3.524845344799e-02       4.731488934492e-01       4.730261943454e-01 
       7.603348409663e-05      -6.724806580797e-02      -5.184348868399e-02      -5.184355047769e-02      -6.720796745025e-02      -5.182635680781e-02      -5.184735835034e-02       4.731353729653e-01       4.730142392346e-01 
       8.956778669209e-05      -9.232535791450e-02      -7.194103437242e-02      -7.194115313353e-02      -9.224878022269e-02      -7.191445753067e-02      -7.194616670178e-02       4.731190499807e-01       4.729997917953e-01 
       1.033337010070e-04      -1.213343400593e-01      -9.575102287521e-02      -9.575123277719e-02      -1.212000095168e-01      -9.571123014906e-02      -9.575748349764e-02       4.730997731551e-01       4.729827090091e-01 
       1.173728263632e-04      -1.542374450020e-01      -1.235318124108e-01      -1.235321608601e-01      -1.540164026733e-01      -1.234738229721e-01      -1.235395971807e-01       4.730773754587e-01       4.729628333686e-01 
       1.317291161523e-04      -1.909723071113e-01      -1.555926484152e-01      -1.555931995187e-01      -1.906262493432e-01      -1.555099432591e-01      -1.556016655763e-01       4.730516305764e-01       4.729399490239e-01 
       1.464492981412e-04      -2.314415342512e-01      -1.923000252238e-01      -1.923008640905e-01      -2.309208971108e-01      -1.921841361875e-01      -1.923100736867e-01       4.730222977603e-01       4.729138264130e-01 
       1.615833277646e-04      -2.755000496822e-01      -2.340853666473e-01      -2.340866047494e-01      -2.747418107195e-01      -2.339253582517e-01      -2.340961095109e-01       4.729890974877e-01       4.728841975499e-01 
       1.771848786948e-04      -3.229396081454e-01      -2.814542512738e-01      -2.814560331041e-01      -3.218648053699e-01      -2.812360636897e-01      -2.814651835407e-01       4.729516969799e-01       4.728507410334e-01 
       1.933118745825e-04      -3.734701928205e-01      -3.349974610044e-01      -3.349999724852e-01      -3.719811143718e-01      -3.347030730030e-01      -3.350078704356e-01       4.729097289542e-01       4.728131001674e-01 
